,Office,Name,Date,cabinet,start,end,office_term,start_office,end_office,next_start,is_end
331,Treasurer of the Navy,George Rose,Continued in office,FALSE,1812-06-08,1827-04-10,1812-06-08,1812-06-08,1827-04-10,12 February 1818,TRUE
332,Treasurer of the Navy,F. J. Robinson,12 February 1818,TRUE,1812-06-08,1827-04-10,12 February 1818,1818-02-12,1827-04-10,8 February 1823,TRUE
333,Treasurer of the Navy,William Huskisson,8 February 1823,TRUE,1812-06-08,1827-04-10,8 February 1823,1823-02-08,1827-04-10,NA,TRUE
334,Secretary at War,Viscount Palmerston,Continued in office,FALSE,1812-06-08,1827-04-10,1812-06-08,1812-06-08,1827-04-10,NA,TRUE
335,Master of the Mint,The Earl Bathurst,Continued in office,TRUE,1812-06-08,1827-04-10,1812-06-08,1812-06-08,1827-04-10,30 October 1812,TRUE
336,Master of the Mint,The Earl of Clancarty,30 October 1812,FALSE,1812-06-08,1827-04-10,30 October 1812,1812-10-30,1827-04-10,28 September 1814,TRUE
337,Master of the Mint,William Wellesley-Pole[g],28 September 1814,FALSE,1812-06-08,1827-04-10,28 September 1814,1814-09-28,1827-04-10,9 October 1823,TRUE
338,Master of the Mint,Thomas Wallace,9 October 1823,FALSE,1812-06-08,1827-04-10,9 October 1823,1823-10-09,1827-04-10,NA,TRUE
339,Paymaster of the Forces,Charles Long,Continued in office – 1826,FALSE,1812-06-08,1827-04-10,Continued in office – 1826,1812-06-08,1826-01-01,Continued in office ,FALSE
340,Paymaster of the Forces,Lord Charles Henry Somerset,Continued in office – 1813,FALSE,1812-06-08,1827-04-10,Continued in office – 1813,1812-06-08,1813-01-01,9 November 1813,FALSE
341,Paymaster of the Forces,F. J. Robinson,9 November 1813 – 1817,TRUE,1812-06-08,1827-04-10,9 November 1813 – 1817,1813-11-09,1817-01-01,1826,FALSE
342,Paymaster of the Forces,William Vesey-FitzGerald,1826,FALSE,1812-06-08,1827-04-10,1826,1826-01-01,1827-04-10,NA,TRUE
343,Postmaster General,The Earl of Chichester,Continued in office – 1826,FALSE,1812-06-08,1827-04-10,Continued in office – 1826,1812-06-08,1826-01-01,Continued in office ,FALSE
344,Postmaster General,The Earl of Sandwich,Continued in office – 1814,FALSE,1812-06-08,1827-04-10,Continued in office – 1814,1812-06-08,1814-01-01,1814,FALSE
345,Postmaster General,The Earl of Clancarty,1814–1816,FALSE,1812-06-08,1827-04-10,1814–1816,1812-06-08,1816-01-01,1816,FALSE
346,Postmaster General,The Marquess of Salisbury,1816–1823,FALSE,1812-06-08,1827-04-10,1816–1823,1812-06-08,1823-01-01,1826,FALSE
347,Postmaster General,Lord Frederick Montagu,1826–1827,FALSE,1812-06-08,1827-04-10,1826–1827,1826-01-01,1827-04-10,NA,FALSE
348,First Commissioner of Woods and Forests,The Lord Glenbervie,Continued in office,FALSE,1812-06-08,1827-04-10,1812-06-08,1812-06-08,1827-04-10,1814,TRUE
349,First Commissioner of Woods and Forests,William Huskisson,1814,TRUE,1812-06-08,1827-04-10,1814,1814-01-01,1827-04-10,1823,TRUE
350,First Commissioner of Woods and Forests,Charles Arbuthnot,1823,FALSE,1812-06-08,1827-04-10,1823,1823-01-01,1827-04-10,NA,TRUE
351,Minister without Portfolio,The Earl Camden[h],June 1812 – December 1812,FALSE,1812-06-08,1827-04-10,June 1812 – December 1812,1812-06-01,1812-12-01,January 1819,FALSE
352,Minister without Portfolio,The Earl of Mulgrave,January 1819 – May 1820,TRUE,1812-06-08,1827-04-10,January 1819 – May 1820,1819-01-01,1820-05-01,NA,FALSE
353,Lord Lieutenant of Ireland,The Duke of Richmond,Continued in office,FALSE,1812-06-08,1827-04-10,1812-06-08,1812-06-08,1827-04-10,June 1813,TRUE
354,Lord Lieutenant of Ireland,The Earl Whitworth,June 1813,FALSE,1812-06-08,1827-04-10,June 1813,1813-06-01,1827-04-10,October 1817,TRUE
355,Lord Lieutenant of Ireland,The Earl Talbot,October 1817,FALSE,1812-06-08,1827-04-10,October 1817,1817-10-01,1827-04-10,December 1821,TRUE
356,Lord Lieutenant of Ireland,The Marquess Wellesley,December 1821,FALSE,1812-06-08,1827-04-10,December 1821,1821-12-01,1827-04-10,NA,TRUE
357,Chief Secretary for Ireland,William Wellesley-Pole,Continued in office,TRUE,1812-06-08,1827-04-10,1812-06-08,1812-06-08,1827-04-10,August 1812,TRUE
358,Chief Secretary for Ireland,Robert Peel,August 1812,TRUE,1812-06-08,1827-04-10,August 1812,1812-08-01,1827-04-10,August 1818,TRUE
359,Chief Secretary for Ireland,Charles Grant,August 1818,FALSE,1812-06-08,1827-04-10,August 1818,1818-08-01,1827-04-10,December 1821,TRUE
360,Chief Secretary for Ireland,Henry Goulburn,December 1821,FALSE,1812-06-08,1827-04-10,December 1821,1821-12-01,1827-04-10,NA,TRUE
361,Attorney General,Sir Thomas Plumer,26 June 1812,FALSE,1812-06-08,1827-04-10,26 June 1812,1812-06-26,1827-04-10,4 May 1813,TRUE
362,Attorney General,Sir William Garrow,4 May 1813,FALSE,1812-06-08,1827-04-10,4 May 1813,1813-05-04,1827-04-10,7 May 1817,TRUE
363,Attorney General,Sir Samuel Shepherd,7 May 1817,FALSE,1812-06-08,1827-04-10,7 May 1817,1817-05-07,1827-04-10,24 July 1819,TRUE
364,Attorney General,Sir Robert Gifford,24 July 1819,FALSE,1812-06-08,1827-04-10,24 July 1819,1819-07-24,1827-04-10,9 January 1824,TRUE
365,Attorney General,Sir John Singleton Copley,9 January 1824,FALSE,1812-06-08,1827-04-10,9 January 1824,1824-01-09,1827-04-10,20 September 1826,TRUE
366,Attorney General,Sir Charles Wetherell,20 September 1826,FALSE,1812-06-08,1827-04-10,20 September 1826,1826-09-20,1827-04-10,NA,TRUE
367,Solicitor General,Sir William Garrow,26 June 1812,FALSE,1812-06-08,1827-04-10,26 June 1812,1812-06-26,1827-04-10,4 May 1813,TRUE
368,Solicitor General,Sir Robert Dallas,4 May 1813,FALSE,1812-06-08,1827-04-10,4 May 1813,1813-05-04,1827-04-10,22 December 1813,TRUE
369,Solicitor General,Sir Samuel Shepherd,22 December 1813,FALSE,1812-06-08,1827-04-10,22 December 1813,1813-12-22,1827-04-10,7 May 1817,TRUE
370,Solicitor General,Sir Robert Gifford,7 May 1817,FALSE,1812-06-08,1827-04-10,7 May 1817,1817-05-07,1827-04-10,24 July 1819,TRUE
371,Solicitor General,Sir John Singleton Copley,24 July 1819,FALSE,1812-06-08,1827-04-10,24 July 1819,1819-07-24,1827-04-10,9 January 1824,TRUE
372,Solicitor General,Sir Charles Wetherell,9 January 1824,FALSE,1812-06-08,1827-04-10,9 January 1824,1824-01-09,1827-04-10,20 September 1826,TRUE
373,Solicitor General,Sir Nicholas Conyngham Tindal,20 September 1826,FALSE,1812-06-08,1827-04-10,20 September 1826,1826-09-20,1827-04-10,NA,TRUE
374,Judge Advocate General,Charles Manners-Sutton,Continued in office,FALSE,1812-06-08,1827-04-10,1812-06-08,1812-06-08,1827-04-10,25 June 1817,TRUE
375,Judge Advocate General,Sir John Beckett,25 June 1817,FALSE,1812-06-08,1827-04-10,25 June 1817,1817-06-25,1827-04-10,NA,TRUE
376,Lord Advocate,Archibald Colquhoun,Continued in office,FALSE,1812-06-08,1827-04-10,1812-06-08,1812-06-08,1827-04-10,1816,TRUE
377,Lord Advocate,Alexander Maconochie,1816,FALSE,1812-06-08,1827-04-10,1816,1816-01-01,1827-04-10,1819,TRUE
378,Lord Advocate,Sir William Rae Bt,1819,FALSE,1812-06-08,1827-04-10,1819,1819-01-01,1827-04-10,NA,TRUE
379,Solicitor General for Scotland,David Monypenny,Continued in office,FALSE,1812-06-08,1827-04-10,1812-06-08,1812-06-08,1827-04-10,1813,TRUE
380,Solicitor General for Scotland,Alexander Maconochie,1813,FALSE,1812-06-08,1827-04-10,1813,1813-01-01,1827-04-10,1816,TRUE
381,Solicitor General for Scotland,James Wedderburn,1816,FALSE,1812-06-08,1827-04-10,1816,1816-01-01,1827-04-10,1822,TRUE
382,Solicitor General for Scotland,John Hope,1822,FALSE,1812-06-08,1827-04-10,1822,1822-01-01,1827-04-10,NA,TRUE
383,Attorney General for Ireland,William Conyngham Plunket,1822,FALSE,1812-06-08,1827-04-10,1822,1822-01-01,1827-04-10,NA,TRUE
384,Solicitor General for Ireland,Charles Kendal Bushe,Continued in office,FALSE,1812-06-08,1827-04-10,1812-06-08,1812-06-08,1827-04-10,20 February 1822,TRUE
385,Solicitor General for Ireland,Henry Joy,20 February 1822,FALSE,1812-06-08,1827-04-10,20 February 1822,1822-02-20,1827-04-10,NA,TRUE
386,Lord Steward of the Household,The Earl of Cholmondeley,Continued in office,FALSE,1812-06-08,1827-04-10,1812-06-08,1812-06-08,1827-04-10,11 December 1821,TRUE
387,Lord Steward of the Household,The Marquess Conyngham,11 December 1821,FALSE,1812-06-08,1827-04-10,11 December 1821,1821-12-11,1827-04-10,NA,TRUE
388,Treasurer of the Household,Viscount Jocelyn,Continued in office,FALSE,1812-06-08,1827-04-10,1812-06-08,1812-06-08,1827-04-10,29 July 1812,TRUE
389,Treasurer of the Household,Lord Charles Bentinck,29 July 1812,FALSE,1812-06-08,1827-04-10,29 July 1812,1812-07-29,1827-04-10,27 May 1826,TRUE
390,Treasurer of the Household,William Henry Fremantle,27 May 1826,FALSE,1812-06-08,1827-04-10,27 May 1826,1826-05-27,1827-04-10,NA,TRUE
391,Comptroller of the Household,Lord George Thynne,Continued in office,FALSE,1812-06-08,1827-04-10,1812-06-08,1812-06-08,1827-04-10,29 July 1812,TRUE
392,Comptroller of the Household,Lord George Beresford,29 July 1812,FALSE,1812-06-08,1827-04-10,29 July 1812,1812-07-29,1827-04-10,NA,TRUE
393,Lord Chamberlain of the Household,The Marquess of Hertford,Continued in office,FALSE,1812-06-08,1827-04-10,1812-06-08,1812-06-08,1827-04-10,14 December 1821,TRUE
394,Lord Chamberlain of the Household,The Duke of Montrose,14 December 1821,FALSE,1812-06-08,1827-04-10,14 December 1821,1821-12-14,1827-04-10,NA,TRUE
395,Vice-Chamberlain of the Household,The Earl of Yarmouth,Continued in office,FALSE,1812-06-08,1827-04-10,1812-06-08,1812-06-08,1827-04-10,28 July 1812,TRUE
396,Vice-Chamberlain of the Household,Viscount Jocelyn,28 July 1812,FALSE,1812-06-08,1827-04-10,28 July 1812,1812-07-28,1827-04-10,7 February 1821,TRUE
397,Vice-Chamberlain of the Household,The Marquess of Graham,7 February 1821,FALSE,1812-06-08,1827-04-10,7 February 1821,1821-02-07,1827-04-10,NA,TRUE
398,Master of the Horse,The Duke of Montrose,Continued in office,FALSE,1812-06-08,1827-04-10,1812-06-08,1812-06-08,1827-04-10,12 December 1821,TRUE
399,Master of the Horse,The Duke of Dorset,12 December 1821,FALSE,1812-06-08,1827-04-10,12 December 1821,1821-12-12,1827-04-10,NA,TRUE
400,Master of the Buckhounds,The Marquess Cornwallis,Continued in office,FALSE,1812-06-08,1827-04-10,1812-06-08,1812-06-08,1827-04-10,22 August 1823,TRUE
401,Master of the Buckhounds,The Lord Maryborough,22 August 1823,FALSE,1812-06-08,1827-04-10,22 August 1823,1823-08-22,1827-04-10,NA,TRUE
402,Captain of the Gentlemen Pensioners,The Earl of Courtown,Continued in office,FALSE,1812-06-08,1827-04-10,1812-06-08,1812-06-08,1827-04-10,NA,TRUE
403,Captain of the Yeomen of the Guard,The Earl of Macclesfield,Continued in office,FALSE,1812-06-08,1827-04-10,1812-06-08,1812-06-08,1827-04-10,NA,TRUE
404,First Lord of the Treasury,George Canning,10 April 1827 –  8 August 1827,TRUE,1827-04-10,1828-01-22,10 April 1827 –  8 August 1827,1827-04-10,1827-08-08,31 August 1827,FALSE
405,First Lord of the Treasury,The Viscount Goderich,31 August 1827 –  21 January 1828,TRUE,1827-04-10,1828-01-22,31 August 1827 –  21 January 1828,1827-08-31,1828-01-21,NA,FALSE
406,Chancellor of the Exchequer,George Canning,20 April 1827,TRUE,1827-04-10,1828-01-22,20 April 1827,1827-04-20,1828-01-22,3 September 1827,TRUE
407,Chancellor of the Exchequer,John Charles Herries,3 September 1827,TRUE,1827-04-10,1828-01-22,3 September 1827,1827-09-03,1828-01-22,NA,TRUE
408,Parliamentary Secretary to the Treasury,Joseph Planta,19 April 1827,FALSE,1827-04-10,1828-01-22,19 April 1827,1827-04-19,1828-01-22,NA,TRUE
409,Financial Secretary to the Treasury,John Charles Herries,Continued in office,TRUE,1827-04-10,1828-01-22,1827-04-10,1827-04-10,1828-01-22,4 September 1827,TRUE
410,Financial Secretary to the Treasury,Thomas Frankland Lewis,4 September 1827,FALSE,1827-04-10,1828-01-22,4 September 1827,1827-09-04,1828-01-22,NA,TRUE
411,Junior Lords of the Treasury,The Earl of Mount Charles,30 April 1827 –  26 January 1828,FALSE,1827-04-10,1828-01-22,30 April 1827 –  26 January 1828,1827-04-30,1828-01-26,30 April 1827,FALSE
412,Junior Lords of the Treasury,Lord Francis Leveson-Gower,30 April 1827 –  8 September 1827,FALSE,1827-04-10,1828-01-22,30 April 1827 –  8 September 1827,1827-04-30,1827-09-08,30 April 1827,FALSE
413,Junior Lords of the Treasury,Lord Eliot,30 April 1827 –  26 January 1828,FALSE,1827-04-10,1828-01-22,30 April 1827 –  26 January 1828,1827-04-30,1828-01-26,30 April 1827,FALSE
414,Junior Lords of the Treasury,Edmund Alexander Macnaghten,30 April 1827 –  26 January 1828,FALSE,1827-04-10,1828-01-22,30 April 1827 –  26 January 1828,1827-04-30,1828-01-26,31 July 1827,FALSE
415,Junior Lords of the Treasury,Maurice FitzGerald,31 July 1827 –  26 January 1828,FALSE,1827-04-10,1828-01-22,31 July 1827 –  26 January 1828,1827-07-31,1828-01-26,NA,FALSE
416,Lord President of the Council,The Earl of Harrowby,Continued in office,TRUE,1827-04-10,1828-01-22,1827-04-10,1827-04-10,1828-01-22,17 August 1827,TRUE
417,Lord President of the Council,The Duke of Portland,17 August 1827,TRUE,1827-04-10,1828-01-22,17 August 1827,1827-08-17,1828-01-22,NA,TRUE
418,Lord Chancellor,The Lord Lyndhurst,2 May 1827,TRUE,1827-04-10,1828-01-22,2 May 1827,1827-05-02,1828-01-22,NA,TRUE
419,Home Secretary,William Sturges Bourne,20 April 1827,TRUE,1827-04-10,1828-01-22,20 April 1827,1827-04-20,1828-01-22,16 July 1827,TRUE
420,Home Secretary,The Marquess of Lansdowne,16 July 1827,TRUE,1827-04-10,1828-01-22,16 July 1827,1827-07-16,1828-01-22,NA,TRUE
421,Under-Secretary of State for the Home Department,Spencer Perceval,30 April 1827,FALSE,1827-04-10,1828-01-22,30 April 1827,1827-04-30,1828-01-22,16 July 1827,TRUE
422,Under-Secretary of State for the Home Department,Thomas Spring Rice,16 July 1827,FALSE,1827-04-10,1828-01-22,16 July 1827,1827-07-16,1828-01-22,NA,TRUE
423,Foreign Secretary,The Viscount Dudley and Ward[a],30 April 1827,FALSE,1827-04-10,1828-01-22,30 April 1827,1827-04-30,1828-01-22,NA,TRUE
424,Under-Secretary of State for Foreign Affairs,The Lord Howard de Walden,Continued in office,FALSE,1827-04-10,1828-01-22,1827-04-10,1827-04-10,1828-01-22,Continued in office until 17 August 1827,TRUE
425,Under-Secretary of State for Foreign Affairs,The Marquess of Clanricarde,Continued in office until 17 August 1827,FALSE,1827-04-10,1828-01-22,Continued in office until 17 August 1827,1827-08-17,1828-01-22,NA,TRUE
426,Secretary of State for War and the Colonies,The Viscount Goderich,30 April 1827,TRUE,1827-04-10,1828-01-22,30 April 1827,1827-04-30,1828-01-22,3 September 1827,TRUE
427,Secretary of State for War and the Colonies,William Huskisson,3 September 1827,TRUE,1827-04-10,1828-01-22,3 September 1827,1827-09-03,1828-01-22,NA,TRUE
428,Under-Secretary of State for War and the Colonies,Robert Wilmot Horton,Continued in office,FALSE,1827-04-10,1828-01-22,1827-04-10,1827-04-10,1828-01-22,NA,TRUE
429,President of the Board of Trade,William Huskisson,Continued in office,TRUE,1827-04-10,1828-01-22,1827-04-10,1827-04-10,1828-01-22,3 September 1827,TRUE
430,President of the Board of Trade,Charles Grant,3 September 1827,TRUE,1827-04-10,1828-01-22,3 September 1827,1827-09-03,1828-01-22,NA,TRUE
431,Vice-President of the Board of Trade,Charles Grant,Continued in office,TRUE,1827-04-10,1828-01-22,1827-04-10,1827-04-10,1828-01-22,NA,TRUE
432,President of the Board of Control,Charles Williams-Wynn,Continued in office,TRUE,1827-04-10,1828-01-22,1827-04-10,1827-04-10,1828-01-22,NA,TRUE
433,Secretary to the Board of Control,Thomas Courtenay,Continued in office,FALSE,1827-04-10,1828-01-22,1827-04-10,1827-04-10,1828-01-22,NA,TRUE
434,Lord High Admiral,The Duke of Clarence,17 April 1827,TRUE,1827-04-10,1828-01-22,17 April 1827,1827-04-17,1828-01-22,NA,TRUE
435,First Secretary to the Admiralty,John Wilson Croker,Continued in office,FALSE,1827-04-10,1828-01-22,1827-04-10,1827-04-10,1828-01-22,NA,TRUE
436,Lord Privy Seal,The Duke of Portland,30 April 1827,TRUE,1827-04-10,1828-01-22,30 April 1827,1827-04-30,1828-01-22,16 July 1827,TRUE
437,Lord Privy Seal,The Earl of Carlisle,16 July 1827,TRUE,1827-04-10,1828-01-22,16 July 1827,1827-07-16,1828-01-22,NA,TRUE
438,Chancellor of the Duchy of Lancaster,The Lord Bexley,Continued in office,TRUE,1827-04-10,1828-01-22,1827-04-10,1827-04-10,1828-01-22,NA,TRUE
439,Master-General of the Ordnance,The Marquess of Anglesey,30 April 1827,TRUE,1827-04-10,1828-01-22,30 April 1827,1827-04-30,1828-01-22,NA,TRUE
440,Lieutenant-General of the Ordnance,Sir William Henry Clinton,Continued in office,FALSE,1827-04-10,1828-01-22,1827-04-10,1827-04-10,1828-01-22,NA,TRUE
441,Treasurer of the Ordnance,William Holmes,Continued in office,FALSE,1827-04-10,1828-01-22,1827-04-10,1827-04-10,1828-01-22,NA,TRUE
442,Surveyor-General of the Ordnance,Sir Edward Owen,14 May 1827,FALSE,1827-04-10,1828-01-22,14 May 1827,1827-05-14,1828-01-22,NA,TRUE
443,Clerk of the Ordnance,Sir George Clerk,4 May 1827,FALSE,1827-04-10,1828-01-22,4 May 1827,1827-05-04,1828-01-22,NA,TRUE
444,Clerk of the Deliveries of the Ordnance,Hon. Edmund Phipps,Continued in office,FALSE,1827-04-10,1828-01-22,1827-04-10,1827-04-10,1828-01-22,NA,TRUE
445,Storekeeper of the Ordnance,Mark Singleton,Continued in office,FALSE,1827-04-10,1828-01-22,1827-04-10,1827-04-10,1828-01-22,NA,TRUE
446,Treasurer of the Navy,William Huskisson,Continued in office,TRUE,1827-04-10,1828-01-22,1827-04-10,1827-04-10,1828-01-22,10 September 1827,TRUE
447,Treasurer of the Navy,Charles Grant,10 September 1827,TRUE,1827-04-10,1828-01-22,10 September 1827,1827-09-10,1828-01-22,NA,TRUE
448,Secretary at War,Viscount Palmerston,Continued in office,TRUE,1827-04-10,1828-01-22,1827-04-10,1827-04-10,1828-01-22,NA,TRUE
449,Master of the Mint,George Tierney,29 May 1827,TRUE,1827-04-10,1828-01-22,29 May 1827,1827-05-29,1828-01-22,NA,TRUE
450,Paymaster of the Forces,Hon. William Vesey-FitzGerald,Continued in office,FALSE,1827-04-10,1828-01-22,1827-04-10,1827-04-10,1828-01-22,NA,TRUE
451,First Commissioner of Woods and Forests,The Earl of Carlisle,30 May 1827,TRUE,1827-04-10,1828-01-22,30 May 1827,1827-05-30,1828-01-22,23 July 1827,TRUE
452,First Commissioner of Woods and Forests,William Sturges Bourne,23 July 1827,TRUE,1827-04-10,1828-01-22,23 July 1827,1827-07-23,1828-01-22,NA,TRUE
453,Ministers without Portfolio,The Marquess of Lansdowne[b],May 1827,FALSE,1827-04-10,1828-01-22,May 1827,1827-05-01,1828-01-22,May 1827,TRUE
454,Ministers without Portfolio,The Duke of Portland[c],May 1827,FALSE,1827-04-10,1828-01-22,May 1827,1827-05-01,1828-01-22,NA,TRUE
455,Lord Lieutenant of Ireland,The Marquess Wellesley,Continued in office,FALSE,1827-04-10,1828-01-22,1827-04-10,1827-04-10,1828-01-22,NA,TRUE
456,Chief Secretary for Ireland,Hon. William Lamb,29 April 1827,FALSE,1827-04-10,1828-01-22,29 April 1827,1827-04-29,1828-01-22,NA,TRUE
457,Attorney General,Sir James Scarlett,27 April 1827,FALSE,1827-04-10,1828-01-22,27 April 1827,1827-04-27,1828-01-22,NA,TRUE
458,Solicitor General,Nicolas Conyngham Tindal,Continued in office,FALSE,1827-04-10,1828-01-22,1827-04-10,1827-04-10,1828-01-22,NA,TRUE
459,Judge Advocate General,Hon. James Abercromby,12 May 1827,FALSE,1827-04-10,1828-01-22,12 May 1827,1827-05-12,1828-01-22,NA,TRUE
460,Lord Advocate,Sir William Rae,Continued in office,FALSE,1827-04-10,1828-01-22,1827-04-10,1827-04-10,1828-01-22,NA,TRUE
461,Solicitor General for Scotland,John Hope,Continued in office,FALSE,1827-04-10,1828-01-22,1827-04-10,1827-04-10,1828-01-22,NA,TRUE
462,Attorney General for Ireland,Henry Joy,18 June 1827,FALSE,1827-04-10,1828-01-22,18 June 1827,1827-06-18,1828-01-22,NA,TRUE
463,Solicitor General for Ireland,John Doherty,18 June 1827,FALSE,1827-04-10,1828-01-22,18 June 1827,1827-06-18,1828-01-22,NA,TRUE
464,Lord Steward of the Household,The Marquess Conyngham,Continued in office,FALSE,1827-04-10,1828-01-22,1827-04-10,1827-04-10,1828-01-22,NA,TRUE
465,Lord Chamberlain of the Household,The Duke of Devonshire,5 May 1827,FALSE,1827-04-10,1828-01-22,5 May 1827,1827-05-05,1828-01-22,NA,TRUE
466,Vice-Chamberlain of the Household,Sir Samuel Hulse,5 May 1827,FALSE,1827-04-10,1828-01-22,5 May 1827,1827-05-05,1828-01-22,NA,TRUE
467,Master of the Horse,The Duke of Leeds,4 May 1827,FALSE,1827-04-10,1828-01-22,4 May 1827,1827-05-04,1828-01-22,NA,TRUE
468,Treasurer of the Household,Sir William Henry Fremantle,Continued in office,FALSE,1827-04-10,1828-01-22,1827-04-10,1827-04-10,1828-01-22,NA,TRUE
469,Comptroller of the Household,Lord George Beresford,Continued in office,FALSE,1827-04-10,1828-01-22,1827-04-10,1827-04-10,1828-01-22,NA,TRUE
470,Captain of the Gentlemen Pensioners,The Viscount Hereford,1827,FALSE,1827-04-10,1828-01-22,1827,1827-04-10,1828-01-22,NA,TRUE
471,Captain of the Yeomen of the Guard,The Earl of Macclesfield,Continued in office,FALSE,1827-04-10,1828-01-22,1827-04-10,1827-04-10,1828-01-22,NA,TRUE
472,Master of the Buckhounds,The Lord Maryborough,Continued in office,FALSE,1827-04-10,1828-01-22,1827-04-10,1827-04-10,1828-01-22,NA,TRUE
473,Prime Minister First Lord of the Treasury Leader of the House of Lords,The Duke of Wellington,22 January 1828,TRUE,1828-01-22,1830-11-01,22 January 1828,1828-01-22,1830-11-01,NA,TRUE
474,Chancellor of the Exchequer,Henry Goulburn,22 January 1828,TRUE,1828-01-22,1830-11-01,22 January 1828,1828-01-22,1830-11-01,NA,TRUE
475,Parliamentary Secretary to the Treasury,Joseph Planta,Continued in office,FALSE,1828-01-22,1830-11-01,1828-01-22,1828-01-22,1830-11-01,NA,TRUE
476,Financial Secretary to the Treasury,George Robert Dawson,28 January 1828,FALSE,1828-01-22,1830-11-01,28 January 1828,1828-01-28,1830-11-01,NA,TRUE
477,Junior Lords of the Treasury,Lord Granville Somerset,26 January 1828 –  24 November 1830,FALSE,1828-01-22,1830-11-01,26 January 1828 –  24 November 1830,1828-01-26,1830-11-24,26 January 1828,FALSE
478,Junior Lords of the Treasury,Earl of Mount Charles,26 January 1828 –  24 April 1830,FALSE,1828-01-22,1830-11-01,26 January 1828 –  24 April 1830,1828-01-26,1830-04-24,26 January 1828,FALSE
479,Junior Lords of the Treasury,Lord Eliot,26 January 1828 –  24 November 1830,FALSE,1828-01-22,1830-11-01,26 January 1828 –  24 November 1830,1828-01-26,1830-11-24,26 January 1828,FALSE
480,Junior Lords of the Treasury,Edmund Alexander Macnaghten,26 January 1828 –  24 July 1830,FALSE,1828-01-22,1830-11-01,26 January 1828 –  24 July 1830,1828-01-26,1830-07-24,24 April 1830,FALSE
481,Junior Lords of the Treasury,George Bankes,24 April 1830 –  24 November 1830,FALSE,1828-01-22,1830-11-01,24 April 1830 –  24 November 1830,1830-04-24,1830-11-24,24 July 1830,FALSE
482,Junior Lords of the Treasury,William Yates Peel,24 July 1830 –  24 November 1830,FALSE,1828-01-22,1830-11-01,24 July 1830 –  24 November 1830,1830-07-24,1830-11-24,NA,FALSE
483,Lord President of the Council,The Earl Bathurst,26 January 1828,TRUE,1828-01-22,1830-11-01,26 January 1828,1828-01-26,1830-11-01,NA,TRUE
484,Lord Chancellor,The Lord Lyndhurst,Continued in office,TRUE,1828-01-22,1830-11-01,1828-01-22,1828-01-22,1830-11-01,NA,TRUE
485,Secretary of State for the Home Department Leader of the House of Commons,Robert Peel,26 January 1828,TRUE,1828-01-22,1830-11-01,26 January 1828,1828-01-26,1830-11-01,NA,TRUE
486,Under-Secretary of State for the Home Department,Thomas Spring Rice,Continued in office,FALSE,1828-01-22,1830-11-01,1828-01-22,1828-01-22,1830-11-01,5 April 1828,TRUE
487,Under-Secretary of State for the Home Department,William Yates Peel,5 April 1828,FALSE,1828-01-22,1830-11-01,5 April 1828,1828-04-05,1830-11-01,5 August 1830,TRUE
488,Under-Secretary of State for the Home Department,Sir George Clerk,5 August 1830,FALSE,1828-01-22,1830-11-01,5 August 1830,1830-08-05,1830-11-01,NA,TRUE
489,Secretary of State for Foreign Affairs,The Earl of Dudley,Continued in office,TRUE,1828-01-22,1830-11-01,1828-01-22,1828-01-22,1830-11-01,2 June 1828,TRUE
490,Secretary of State for Foreign Affairs,The Earl of Aberdeen,2 June 1828,TRUE,1828-01-22,1830-11-01,2 June 1828,1828-06-02,1830-11-01,NA,TRUE
491,Parliamentary Under-Secretary of State for Foreign Affairs,The Lord Howard de Walden,Continued in office,FALSE,1828-01-22,1830-11-01,1828-01-22,1828-01-22,1830-11-01,28 June 1828,TRUE
492,Parliamentary Under-Secretary of State for Foreign Affairs,Lord Dunglass,28 June 1828,FALSE,1828-01-22,1830-11-01,28 June 1828,1828-06-28,1830-11-01,NA,TRUE
493,Secretary of State for War and the Colonies,William Huskisson,Continued in office,TRUE,1828-01-22,1830-11-01,1828-01-22,1828-01-22,1830-11-01,30 May 1828,TRUE
494,Secretary of State for War and the Colonies,Sir George Murray,30 May 1828,TRUE,1828-01-22,1830-11-01,30 May 1828,1828-05-30,1830-11-01,NA,TRUE
495,Under-Secretary of State for War and the Colonies,Lord Francis Leveson-Gower,26 January 1828,FALSE,1828-01-22,1830-11-01,26 January 1828,1828-01-26,1830-11-01,30 May 1828,TRUE
496,Under-Secretary of State for War and the Colonies,Horace Twiss,30 May 1828,FALSE,1828-01-22,1830-11-01,30 May 1828,1828-05-30,1830-11-01,NA,TRUE
497,President of the Board of Trade,Charles Grant,Continued in office,TRUE,1828-01-22,1830-11-01,1828-01-22,1828-01-22,1830-11-01,11 June 1828,TRUE
498,President of the Board of Trade,William Vesey-Fitzgerald,11 June 1828,TRUE,1828-01-22,1830-11-01,11 June 1828,1828-06-11,1830-11-01,2 February 1830,TRUE
499,President of the Board of Trade,John Charles Herries,2 February 1830,TRUE,1828-01-22,1830-11-01,2 February 1830,1830-02-02,1830-11-01,NA,TRUE
500,Vice-President of the Board of Trade,Thomas Frankland Lewis,5 February 1828,FALSE,1828-01-22,1830-11-01,5 February 1828,1828-02-05,1830-11-01,30 May 1828,TRUE
501,Vice-President of the Board of Trade,Thomas Peregrine Courtenay,30 May 1828,FALSE,1828-01-22,1830-11-01,30 May 1828,1828-05-30,1830-11-01,NA,TRUE
